Text,Category,Priority,Team
unclassified technical complaint منذ أمس,Other,Medium,Technical Support
Please investigate the reported slow speed issue,Slow Speed,High,Technical Support
customer cannot access the internet على خط المشترك,Service Outage,Critical,Network Operations
connection is slow even though the package is fast منذ ساعة,Slow Speed,High,Technical Support
network service is unavailable منذ الصباح,Service Outage,Critical,Network Operations
التصفح بطيء بسبب انخفاض السرعة بشكل متكرر,Slow Speed,High,Technical Support
الراوتر لا يعمل,Router Issues,Medium,Technical Support
أريد تجديد الباقة منذ الصباح,Billing,Low,Billing
المودم يتوقف عن العمل حالياً,Router Issues,Medium,Technical Support
subscriber has total internet outage منذ أمس,Service Outage,Critical,Network Operations
مشكلة في جهاز المودم على خط المشترك,Router Issues,Medium,Technical Support
سرعة الإنترنت بطيئة جداً,Slow Speed,High,Technical Support
Support ticket opened for billing,Billing,Low,Billing
لا يوجد نت على الخط نهائياً منذ ساعة,Service Outage,Critical,Network Operations
المشترك يحتاج حلاً لمشكلة WiFi Problems,WiFi Problems,Medium,Technical Support
أحتاج نسخة من الفاتورة بعد انقطاع الكهرباء,Billing,Low,Billing
Support ticket opened for wifi problems,WiFi Problems,Medium,Technical Support
customer needs general technical assistance,Other,Medium,Technical Support
Customer reports other and requests technical support,Other,Medium,Technical Support
الراوتر يحتاج إلى إعادة ضبط بشكل متكرر,Router Issues,Medium,Technical Support
تغطية الواي فاي ضعيفة على خط المشترك,WiFi Problems,Medium,Technical Support
تم تسجيل شكوى تتعلق بـ Other,Other,Medium,Technical Support
Customer contacted support regarding service outage,Service Outage,Critical,Network Operations
أجهزة المنزل لا تتصل بالواي فاي في المنزل,WiFi Problems,Medium,Technical Support
أريد معرفة قيمة الاشتراك حالياً,Billing,Low,Billing
تم تسجيل شكوى تتعلق بـ Billing,Billing,Low,Billing
Customer contacted support regarding other,Other,Medium,Technical Support
customer needs router reset في المنزل,Router Issues,Medium,Technical Support
يوجد Billing لدى المشترك ويحتاج إلى معالجة,Billing,Low,Billing
المشكلة مصنفة ضمن Billing,Billing,Low,Billing
connection dropped and never came back في المنزل,Service Outage,Critical,Network Operations
يوجد Slow Speed لدى المشترك ويحتاج إلى معالجة,Slow Speed,High,Technical Support
issue does not fit another category منذ ساعة,Other,Medium,Technical Support
wireless network keeps dropping على خط المشترك,WiFi Problems,Medium,Technical Support
web browsing is very slow في المنزل,Slow Speed,High,Technical Support
wireless coverage does not reach the rooms منذ أمس,WiFi Problems,Medium,Technical Support
modem keeps restarting منذ أمس,Router Issues,Medium,Technical Support
Customer reports router issues and requests technical support,Router Issues,Medium,Technical Support
أريد الاستفسار عن خدمات الشركة على خط المشترك,Other,Medium,Technical Support
الإنترنت مقطوع بالكامل ولا يوجد اتصال,Service Outage,Critical,Network Operations
المشكلة مصنفة ضمن WiFi Problems,WiFi Problems,Medium,Technical Support
internet stopped working for the whole connection بشكل متكرر,Service Outage,Critical,Network Operations
subscription renewal issue بعد انقطاع الكهرباء,Billing,Low,Billing
الدفع الإلكتروني لم يتم تسجيله بشكل متكرر,Billing,Low,Billing
devices cannot connect to wifi حالياً,WiFi Problems,Medium,Technical Support
لا أستطيع الدخول إلى إعدادات الراوتر في المنزل,Router Issues,Medium,Technical Support
Customer reports billing and requests technical support,Billing,Low,Billing
Please investigate the reported router issues issue,Router Issues,Medium,Technical Support
internet speed is very slow بعد تغيير الإعدادات,Slow Speed,High,Technical Support
invoice amount is incorrect حالياً,Billing,Low,Billing
internet throughput is below expected speed منذ الصباح,Slow Speed,High,Technical Support
modem configuration problem منذ الصباح,Router Issues,Medium,Technical Support
تم دفع الفاتورة ولم يتجدد الاشتراك منذ ساعة,Billing,Low,Billing
wireless router is malfunctioning بشكل متكرر,Router Issues,Medium,Technical Support
home wifi is slow منذ ساعة,WiFi Problems,Medium,Technical Support
مشكلة أخرى في الخدمة بشكل متكرر,Other,Medium,Technical Support
Customer contacted support regarding billing,Billing,Low,Billing
الاتصال بالإنترنت انقطع بالكامل منذ الصباح,Service Outage,Critical,Network Operations
المشترك يبلغ عن Billing,Billing,Low,Billing
الاشتراك لا يصل إلى الإنترنت على خط المشترك,Service Outage,Critical,Network Operations
المبلغ الظاهر في الفاتورة غير صحيح في المنزل,Billing,Low,Billing
السرعة أقل بكثير من السرعة المشترك بها منذ ساعة,Slow Speed,High,Technical Support
customer reports a modem issue منذ أمس,Router Issues,Medium,Technical Support
إشارة الواي فاي ضعيفة داخل المنزل,WiFi Problems,Medium,Technical Support
يوجد WiFi Problems لدى المشترك ويحتاج إلى معالجة,WiFi Problems,Medium,Technical Support
أحتاج مساعدة فنية عامة بعد انقطاع الكهرباء,Other,Medium,Technical Support
تم تسجيل شكوى تتعلق بـ Slow Speed,Slow Speed,High,Technical Support
المشكلة مصنفة ضمن Other,Other,Medium,Technical Support
online payment is not reflected منذ الصباح,Billing,Low,Billing
billing problem with my invoice بعد تغيير الإعدادات,Billing,Low,Billing
الإنترنت بطيء في أوقات مختلفة منذ الصباح,Slow Speed,High,Technical Support
PPPoE connection is down بعد تغيير الإعدادات,Service Outage,Critical,Network Operations
Customer contacted support regarding wifi problems,WiFi Problems,Medium,Technical Support
general question about the service بعد تغيير الإعدادات,Other,Medium,Technical Support
لمبات الراوتر لا تعمل بشكل طبيعي منذ الصباح,Router Issues,Medium,Technical Support
router loses connection repeatedly بعد تغيير الإعدادات,Router Issues,Medium,Technical Support
weak wireless signal منذ الصباح,WiFi Problems,Medium,Technical Support
router disconnects frequently منذ ساعة,Router Issues,Medium,Technical Support
Need assistance with service outage for subscriber,Service Outage,Critical,Network Operations
other service issue بعد انقطاع الكهرباء,Other,Medium,Technical Support
payment was made but the account was not renewed,Billing,Low,Billing
المشترك يبلغ عن Slow Speed,Slow Speed,High,Technical Support
أحتاج مساعدة في إعداد الاتصال منذ الصباح,Other,Medium,Technical Support
الشبكة لا تعمل إطلاقاً منذ عدة ساعات في المنزل,Service Outage,Critical,Network Operations
لدي مشكلة في الفاتورة,Billing,Low,Billing
need help configuring the connection بشكل متكرر,Other,Medium,Technical Support
speed test shows low bandwidth حالياً,Slow Speed,High,Technical Support
customer has wifi coverage problem في المنزل,WiFi Problems,Medium,Technical Support
المشترك يحتاج حلاً لمشكلة Other,Other,Medium,Technical Support
Need assistance with billing for subscriber,Billing,Low,Billing
payment confirmation is missing بعد تغيير الإعدادات,Billing,Low,Billing
wifi disconnects frequently,WiFi Problems,Medium,Technical Support
Please investigate the reported wifi problems issue,WiFi Problems,Medium,Technical Support
billing charge is wrong على خط المشترك,Billing,Low,Billing
Support ticket opened for other,Other,Medium,Technical Support
المشترك يبلغ عن WiFi Problems,WiFi Problems,Medium,Technical Support
need a copy of the invoice في المنزل,Billing,Low,Billing
هناك انقطاع متكرر في الواي فاي منذ الصباح,WiFi Problems,Medium,Technical Support
router is not working بعد تغيير الإعدادات,Router Issues,Medium,Technical Support
المشترك يبلغ عن Service Outage,Service Outage,Critical,Network Operations
question about available internet packages حالياً,Other,Medium,Technical Support
WAN port on the router is not working بعد انقطاع الكهرباء,Router Issues,Medium,Technical Support
no internet connection at all منذ أمس,Service Outage,Critical,Network Operations
يوجد Router Issues لدى المشترك ويحتاج إلى معالجة,Router Issues,Medium,Technical Support
المشترك يحتاج حلاً لمشكلة Billing,Billing,Low,Billing
Support ticket opened for router issues,Router Issues,Medium,Technical Support
سرعة التنزيل منخفضة بشكل واضح في المنزل,Slow Speed,High,Technical Support
Customer contacted support regarding router issues,Router Issues,Medium,Technical Support
unknown technical issue منذ أمس,Other,Medium,Technical Support
customer reports low download speed على خط المشترك,Slow Speed,High,Technical Support
bandwidth is lower than subscribed plan بعد انقطاع الكهرباء,Slow Speed,High,Technical Support
customer asks about subscription price منذ ساعة,Billing,Low,Billing
speed drops frequently بشكل متكرر,Slow Speed,High,Technical Support
wifi password does not work بشكل متكرر,WiFi Problems,Medium,Technical Support
المشترك يبلغ عن Router Issues,Router Issues,Medium,Technical Support
المشترك يحتاج حلاً لمشكلة Slow Speed,Slow Speed,High,Technical Support
Please investigate the reported other issue,Other,Medium,Technical Support
high latency and slow browsing بعد تغيير الإعدادات,Slow Speed,High,Technical Support
the line has no internet access منذ ساعة,Service Outage,Critical,Network Operations
Customer reports wifi problems and requests technical support,WiFi Problems,Medium,Technical Support
أريد الاستفسار عن الدفع على خط المشترك,Billing,Low,Billing
home wireless connection is unstable منذ أمس,WiFi Problems,Medium,Technical Support
service outage since morning,Service Outage,Critical,Network Operations
سرعة الخط متذبذبة وبطيئة بعد انقطاع الكهرباء,Slow Speed,High,Technical Support
wifi signal is weak at home بعد تغيير الإعدادات,WiFi Problems,Medium,Technical Support
Support ticket opened for service outage,Service Outage,Critical,Network Operations
تم تسجيل شكوى تتعلق بـ Router Issues,Router Issues,Medium,Technical Support
customer wants to update payment بشكل متكرر,Billing,Low,Billing
WAN is down and there is no connectivity بعد انقطاع الكهرباء,Service Outage,Critical,Network Operations
internet performance is poor منذ أمس,Slow Speed,High,Technical Support
الشبكة اللاسلكية بطيئة رغم أن الخط جيد منذ ساعة,WiFi Problems,Medium,Technical Support
router stopped responding على خط المشترك,Router Issues,Medium,Technical Support
Customer reports service outage and requests technical support,Service Outage,Critical,Network Operations
مشكلة في كلمة مرور الشبكة اللاسلكية بشكل متكرر,WiFi Problems,Medium,Technical Support
التحميل بطيء رغم أن الباقة سريعة حالياً,Slow Speed,High,Technical Support
Need assistance with wifi problems for subscriber,WiFi Problems,Medium,Technical Support
internet connection was lost completely حالياً,Service Outage,Critical,Network Operations
الجهاز يفصل الاتصال بشكل متكرر بعد انقطاع الكهرباء,Router Issues,Medium,Technical Support
المشترك يحتاج حلاً لمشكلة Router Issues,Router Issues,Medium,Technical Support
الواي فاي لا يصل إلى الغرف البعيدة حالياً,WiFi Problems,Medium,Technical Support
تم تسجيل شكوى تتعلق بـ Service Outage,Service Outage,Critical,Network Operations
الواي فاي يفصل بشكل متكرر بعد انقطاع الكهرباء,WiFi Problems,Medium,Technical Support
technical problem with unclear symptoms على خط المشترك,Other,Medium,Technical Support
يوجد Other لدى المشترك ويحتاج إلى معالجة,Other,Medium,Technical Support
المشكلة مصنفة ضمن Router Issues,Router Issues,Medium,Technical Support
general support request في المنزل,Other,Medium,Technical Support
download speed is much lower than the package منذ أمس,Slow Speed,High,Technical Support
مشكلة تقنية غير معروفة منذ ساعة,Other,Medium,Technical Support
Need assistance with router issues for subscriber,Router Issues,Medium,Technical Support
general customer inquiry بعد تغيير الإعدادات,Other,Medium,Technical Support
slow internet during the evening,Slow Speed,High,Technical Support
الخدمة متوقفة منذ الصباح حالياً,Service Outage,Critical,Network Operations
router lights are abnormal حالياً,Router Issues,Medium,Technical Support
لدي استفسار عام عن الخدمة,Other,Medium,Technical Support
تم تسجيل شكوى تتعلق بـ WiFi Problems,WiFi Problems,Medium,Technical Support
المشكلة مصنفة ضمن Slow Speed,Slow Speed,High,Technical Support
some devices cannot join the wireless network بعد انقطاع الكهرباء,WiFi Problems,Medium,Technical Support
المشترك يبلغ عن Other,Other,Medium,Technical Support
Customer reports slow speed and requests technical support,Slow Speed,High,Technical Support
Please investigate the reported billing issue,Billing,Low,Billing
Need assistance with other for subscriber,Other,Medium,Technical Support
لدي مشكلة لم أجد لها تصنيفاً في المنزل,Other,Medium,Technical Support
I need to renew my subscription منذ أمس,Billing,Low,Billing
Support ticket opened for slow speed,Slow Speed,High,Technical Support
Customer contacted support regarding slow speed,Slow Speed,High,Technical Support
Please investigate the reported service outage issue,Service Outage,Critical,Network Operations
الخط متصل لكن لا يوجد إنترنت بعد انقطاع الكهرباء,Service Outage,Critical,Network Operations
internet is completely down بعد تغيير الإعدادات,Service Outage,Critical,Network Operations
wifi performance is poor while wired speed is good بعد تغيير الإعدادات,WiFi Problems,Medium,Technical Support
أريد معرفة تفاصيل الباقة حالياً,Other,Medium,Technical Support
يوجد Service Outage لدى المشترك ويحتاج إلى معالجة,Service Outage,Critical,Network Operations
invoice question منذ أمس,Billing,Low,Billing
المشكلة مصنفة ضمن Service Outage,Service Outage,Critical,Network Operations
اختبار السرعة يعطي نتيجة أقل من الباقة على خط المشترك,Slow Speed,High,Technical Support
Need assistance with slow speed for subscriber,Slow Speed,High,Technical Support
الراوتر يعيد التشغيل من تلقاء نفسه منذ ساعة,Router Issues,Medium,Technical Support
cannot access router settings,Router Issues,Medium,Technical Support
فقدنا الاتصال بالإنترنت بالكامل بشكل متكرر,Service Outage,Critical,Network Operations
المشترك يحتاج حلاً لمشكلة Service Outage,Service Outage,Critical,Network Operations
customer asks about ISP services منذ الصباح,Other,Medium,Technical Support
